text,first_frame
00.44 TwTv weaselfrank (Kled) is asking,2400
00.45 TwTv weaselfrank (Kled) is asking,2700
00:49 [Team] TwTv weaselfrank (Kled):,3000
00:57 fanq (Sylas) is on the way,3300
01.04 TwTv weaselfrank (Kled) is on the,3600
01.22 xeonerr' (Viego) is on the way,4800
IrageteaXD (Jannia),5700
[flageteaXD (Jarina),6000
02:18 xeonerr (Viego) hias targeted tfie,8100
02:18 xeonerr (Viego) fias targeted the,8400
02.29 WinnersQ is Real (Rell): Jarina He,8700
02.30 Winnersu i5 Real (Rell): Jhin Flase,9000
02.39 xeonerr (Viego): Hecarir Alive,9300
02.42 Winnersu is Real (Rellf is on the,9600
02.42 Winnersa is Real (Rell) is on the,9900
02.59 WinnersQ is Real (Rell) is on the,10500
03.00 TwTv weaselfrank (Kled) i5 on the,10800
03.09 xeonerr ego) is on Ine way,11100
03:09 xeonerr ( liego) is on the way,11400
03.22 xeonerr (Viego) is on tne way,12000
03.29 Winnersu is Real (Rell): Jnin Flas,12300
03.34 Zwyroo (Ziggs Jhin Flash ,12600
03.39 Winnersq is Real (Rell) i5 on the,12900
03.40 WinnersO is Real (Rell) is o the,13200
03.47 fanq (Sylas): Akali Flash,13500
03:51 fanq (Sylas) purchased Dark Seal,13800
03.56 xeonerr (Viego) signals that enerr,14100
04:04 WirersQ is Real (Rell) signals to,14400
04.08 xeonerr (Viego) is asking for visic,14700
04:10 TwTv weaselfrank (Kled): Stealth,15000
04 18 faric (Sylas) iston the way,15300
0424 xeorerr (Viego) hab targeted kuro,15600
04-34 Twilv weaselfrank (Kled) wants to,16200
04.38 [Team] TwTv weaselfrarik (Kled):,16500
04.43 [Team] TwTv weaselfrank (Kled),16800
04.43 [Team] TwTv weaselfrank (Kled):,17100
mrageteaXD (Jarria),17400
04.56 xeonerr (Viego) is on the way,17700
05.07 reonert' (Vviego): Voidgrubs Spav,18300
05.14 TvIV Magetea/0 (Jarina) is onrak,18600
05:14 twtv mnagetea/D (Jarinia) is Ora k,18900
05.24 Zwyrod (Ziggs) purchased Contro,19200
05.27 xeonerr (Viego) is on the way,19500
05.32 TwTv weaselfrank (Kled) : Wait for,19800
05.32 TwTv weaselfrank (Kled): Wait for_,20100
05.43 WinnersQ is Real (Rell) is o the,20400
05.49 TwTv weaselfrank (Kled) wants tO,20700
05.54 TwTv weaselfrank (Kled) is on the,21000
05.58 TwTv weaselfrank (Kled) is on the,21300
05.58 TwTv weasetirank (Kled) is on the,21600
06:11 The ereIflY team has slain the Clc,22200
missing,22500
06.23 Winnersu is Real (Rell): Jariria ha,22800
06.28 xeonerr (Viego) is on the way,23100
06.34 Winnersa is Real (Rell) signals t0,23400
5 Real (Rell) signals to,23700
06.41 WinnersQ is Real (Rell) is on the,24000
06.53 fanq (Sylas) signals that enemies,24600
06.59 fanq (Sylas) signals that enemies,24900
07:04 xeonerr (Viego) is on the way,25200
07:12 xeonerr (Viego): Akali Hextech Alt,25800
07.24 Sylas has stolen Akali 5 ultimatel,26400
07.28 TwTv weaselfrank (Kled): R Rear,26700
07.33 TwTv weaselfrank,27000
07.37 fanq (Sylas) is on the way,27300
nere,27900
here,28200
08:12 WinnersQ is Real (Rell): Jriin Flas),29400
Completion Time: 8.15,29700
08.23 Winnersa is Real (Rell) signals to,30000
08:23 Winnersq is Real (Rell) signals to,30300
08:32 Po Gap (Akali) is Ori killing spree,30600
08:32 Po Gap (Akali) js On & killing spre,30900
08.47 xeonerr (Viego): Voidgrubs Spai,31500
08.52 TwTv weaselfrank (Kled) is on the,31800
09.05 WinnersQ is Real (Rell): 1% towar,32700
09:29 xeonerr (Viego): Kraken Slayer,33900
09.34 Winnersu is Real (Rell): 31% towa,34200
0.50,34500
09.42 xeonerr (Viego) is on the way,34800
09.46 xeonerr' (Viego): Akali Hextech Rc,35100
09.54 xeonerr (Viego) is on the way ,35400
09.56 xeonerr (Viego) is on the way,35700
10:04 xeonerr (Viego) ias targeted kur,36000
10.07 eorerr (Viego) is on tfe way,36300
10:07 xeonerr (Viego) iS on tne way,36600
10:15 xeonerr (Hecarim) is on the way,36900
10:29 xeonerr (Viego) is 0n the way,37500
10.34 xeonerr (Viego): Jarina R,37800
(Janria),38100
(amna),38400
10:53 Winnersq is Real (Rell): Wait For,39000
10:57 xeonerr (Viego): Kenrieri Alive,39300
11:03 TwTv weaselfrank (Kled) is asking,39600
11.08 Twv weaselfrank (Kled) is on the,39900
11:10 xeonerr (Viego): Health 479,40200
11.16 fanq (Sylas) signals t0 be cautious,40500
11.27 xeonerr (Viego) is on the way,41100
11.31 [Team] TwTv weaselfrank (Kled):,41400
11.39 TwTv weaselfrank (Kled) is asking,41700
Teleport  2035,42000
Teleport 2035,42300
11.54 TwTv weaselfrank (Kled) 5 on the,42600
11:58 xeonerr Viego) Signals to be caut,42900
12.03 xeonerr (Viego): Tunneler Can,43200
12.06 xeonerr (Viego) purchased Contrc,43500
12.12 xeonerr (Viego) is on the way,43800
12:16 xeonerr (Viego): Jariria Boots of $,44100
12.24 xeonerr ViegonIS on tne way,44400
12.28 xeonerr (Viego Is on tne way,44700
12.43 xeonerr (Viego) i5 on the way,45600
12.43 xeonerr (Viego) is on the way,45900
13.04 Winnersq is Real (Rell) is on the,46800
13.05 Winnersu is Real (Rell) is on the,47100
13.14 xeonerr (Viego) has targeted Kum,47400
13.17 Sylas has stolen Hecarim'5 ultima,47700
double killl,48000
from tne Outer Turret,48300
from the Outer Turret,48600
13.42 xeonerr (Viego): Titanic Hydra,49200
13.52 Winnersq is Real (Rell) is on the,49800
13.52 WinnersQ is Real (Rell) is on the,50100
14.03 xeonerr (Viego): Akali Alive,50400
Iron Solari,51000
14.16 Winnersa is Real (Rell) purchasec,51300
14.22 TwTv weaselfrank (Kled): Akali,51600
Turret (26%),51900
Turret (46%),52200
14.37 Zwyroq iggs ): 125,52500
14.49 Winnersq is Real (Rell) is on the,53100
14.53 TwTv weaselfrank (Kled) is on the,53400
Turret (25%),53700
15.09 Winnersu is Real (Rell): Jhir Flas],54300
15.18 xeonerr (Viego) is on the way,54900
15.21 xeonerr (Viego) is on the way,55200
15.29 Zwyroo (Ziggs) has targeted the,55500
15.34 TwTv weaselfrank (Kled) wants t,55800
15.44 fang (Sylas) is on the way,56400
15.47 Sylas has stolen Akali's ultimatel,56700
15.53 TwTv weaselfrank (Klled) is asking,57000
15.54 fang (Sylas) is on the way,57300
gold,57600
16.14 TwTv weaselfrank (Kled) sigrals,58200
16:17 Zwyro@ (Ziggs): Horizon Focus,58500
16.21 xeonerr (Viego) purchased Contrc,58800
16.28 TwTv weaselirarkk (Kled) signals,59100
16.33 xeorerr (Viego) signals t0 be cau,59400
16.37 xeonerr (Viego): Recall,59700
16.44 Zwyroa (Ziggs) 1883 Gold,60000
6.48 Zwyro@ (Ziggs): Horizon Focus,60300
16.53 fanq (Sylas) signals that enemies,60600
16.58 fanq (Sylas) i5 dominatingl,60900
16.58 fang (Sylas) i5 dominatingl,61200
17.09 Winnersa i5 Real (Rell) purchasec,61500
17.10 TwTv weaselfrank (Kled) is on the,61800
17.22 xeonerr (Viego) has captured Rift,62400
17.29 TwTv weaselfrank (Kled) wants to,62700
17.34 Winnersu is Real (Rell) is on the,63000
17.38 xeonerr (Viego) has targeted the,63300
17.43 eoner (Viego) signals enemy ha,63600
17.49 TwTv weaselfrank (Kled): Janna,63900
(Kkam),64200
"Destroyed: 2,800[",64500
Tf 8A,64800
18.08 xeoferr (Viego) is on the way,65100
18.13 Zwvrod Ziggs} sigllalb tU retreat,65400
18.19 [Team] TwTv 'easelfrank (Kled):,65700
18.21 fanq (Syias) aking Tor assistanc,66000
18.28 TwTv weaseltrenk (Kled) signals,66300
18.34 xeonerr (Viego) has targeted XUrr,66600
836-W4irfersa is Real (Rell) is on the,66900
8.41 xeonerr (Viego) has targeted Po,67200
Bourity: 4376),67500
Bounty: 4376),67800
"Hillbilly Contraption: 56,6351",68100
19.00 Zwyr 00 (Ziggs) is on the way,68400
19.05 Winnersa is Real (Rell) purchasec,68700
19.17 xeonerr (Viego) is asking for assis,69300
19.27 TwTv weaselfrank (Kled): Akali Fl,69900
Bourty: 1266),70200
Bounty: 1266),70500
19.41 [Team] WinnersO is Real (Rell): 2,70800
19.54 Zwyrod (Ziggs): Akali Flash,71400
20:00 TwTv weaselfrank (Kled) Atakhan,72000
20:07 xeonerr (Viego) purchased Contr,72300
20:12 WNinnersd is Real (Rell) i5 on the,72600
20:15 xeonerr (Viego) is asking for assi:,72900
20.22 TwTv weaselfrank (Kled) wants to,73200
20.24 xeonerr (Viego) i5 on the way,73500
20:34 TwTv wease frank (Kled) is on the,73800
20.37 TwTv weaselfrank (Kled) is asking,74100
"20.42 WinnersC js Real (Rell) is,on the",74400
20.49 WinnersC is Real (Rell) is on the,74700
20:53 WinnersC is Real (Rell): R- Read,75000
20:53 Winners0 i6 Real (RelleR Read',75300
21:00 xeonerr (Viego) is on the way,75600
21:06 TwTv weaselfrank (Kled) is on the,75900
21.18 TwTv weaselfrank (Kled) is on the,76500
21.24 fanq (Sylas) is on the way,76800
21.29 Zwyrod (Ziggs): E Ready,77100
fall back,77400
21.37 fanq (Sylas) is on the way,77700
pressing [I].,78600
21.59 TwTv weaselfrank (Kled) is on the,78900
22.02 TwTv weaselfrank (Kled) is on the,79200
22.05 (54Ki50S ( Jhin) is on a killing spree,79500
22.13 [Team] Winners0 i5 Real (Rell):,79800
22:13 [Team] Winnersu is Real (Rell):,80100
22.24 Winnersu is Real (Rell) purchasec,80400
22.24 Winnersu is Real (Rell) purchaser,80700
22.42 xeonerr (Viego) i5 abking for a55_,81600
22.42 xeonerr (Viego) i5 asking for assis,81900
22.59 fanq (Sylas) is on the way,82500
23.01 WinnersQ is Real (Rell) is on the,82800
23.09 Winner 90 /6 Reai (Rell) is @n tne,83100
23.09 Winnersu is Real (Rell) is on the,83400
23.24 TwTv weaselfrank (Kled): Opportu,84000
23.29 TwTv weaselfrank (Kled): Wait For,84300
23.29 TwTv weaselfrank (Kled) wants to,84600
23.37 xeonerr (Viego) signals enemy ha,84900
23.40 Winnersq is Real (Rell) i5 on the,85200
23.49 TwTv weaselfrank (Kled) purchase,85500
23.54 TwTv weaselfrank (Kled) signals,85800
23.59 Winnersu is Real (Rell) signals to,86100
24.03 WinnersQ is Real (Rell) signals to,86400
24.03 Winnersu is Real (Rell) signals to,86700
24:12 xeonerr (Viego) is on the way,87000
24:18 WinnersQ is Real (Rell) signals to,87300
24:18 Winners0 is Real (Rell) signals to,87600
24.29 Kurfst (Hlacahim is on a killing sp,87900
24.34 fanq (Syias) has slain Po Gap (4ra,88200
24.38 fanq (Sylas) is o the way,88500
24.44 TwTv weaselfrank (Kled): Hlecarirc,88800
24.47 Winnel 31 15 Real (Rell) is on the,89100
24.54 xeonerr (Viego) has slain the Che,89400
24.58 WinnersQ is Real (Rell) is on the,89700
24:58 Winnersq is Real (Rell) is on the,90000
197s,90300
"25.14 Zwyrod (Ziggs): Rabadon""5 Deathc",90600
2278 gold,90900
25.21 [Team] Zwyrod (Ziggs): dont let a,91200
25.34 xeorierr (Viego) fias targeted tfie,91800
25.38 xeonerr (Viego) is asking for visic,92100
Teleport 165,92700
25.59 TwTv wedseifrank (Kled  i9 asinn,93300
26.03 xeonerr (Viegol signals to be cau:,93600
26.09 xeonerr (egel signals enemy ha,93900
26:14 eorerr (Viego): Sterak 5 Gage,94200
26.17 xeonerr (Viego): Jniri Flash,94500
26.21 fanq (Sylas) is asking for assistan,94800
26.34 [Team] Zwyroo (Ziggs):,95400
26.38 xeonerr (Viego) purchased Contrc,95700
26.43 Zwyrod (Ziggs) signals enemy has,96000
"2.47 ,eorierr (Viego): Jriiri Flash",96300
26.50 [Team] fanq (Sylas): mb my r didr,96600
855,96900
27.02 TwTv weaselfrank (Kled): Janna,97200
27.08 Zwyrod (Ziggs) purchased Contro,97500
27.13 TwTv weaselfrank (Kled) is on the,97800
27:19 [Team] Zwyroo (Ziggs): force ther,98100
27.24 xeonerr (Viego) signals that enem,98400
27.26 xeonerr (Viego) is on the way,98700
27.33 [Team] TwTv weaselfrank (Kied):,99000
Jonnd),99300
27.43 xeanerr (Viegol) is on the way,99600
27.46 Sylas mmas Stolen Akali 5 ultimatel,99900
Bouritye 14361,100200
27.58 xeonerr (Jhin) is on the way,100500
28.02 Zwyroo (Ziggs) has targeted the,100800
28.06 xeonerr (Viego) is asking for assi:,101100
28.28 xeonerr (Viego) has slain Baron,102300
28.30 xeonerr (Viego) is asking for assis,102600
28.44 xeonerr (Viego) signals to be caui,103200
28.46 fanq (Sylas) signals that enemies,103500
28.54 fang (Sylas): Sylas Respawning,103800
28.54 fanq (Sylas): Sylas Respawning,104100
29.04 xeonerr (Viego) is on the way,104400
29.08 xeonerr (Viego) has targeted / Jm,104700
29.12 Zwyroo (Ziggs) signals enemy has,105000
29.17 xeonerr (Viego) has targeted kur,105300
29.24 Zwyroo (Ziggs) signals to retreat,105600
29.29 ZwVr@Q (Ziggs) abking Ial agais,105900
29.29 Zwyroo (Ziggs) is asking for assis,106200
29.38 WinnersQ is Real (Rell) purchasec,106500
2105,106800
29.49 [Team] Zwyrod (Ziggs): Ty,107100
29.50 xeonerr (Viego) is asking for assi,107400
29.59 TwTv weaselfrank (Kled): Kled F,107700
30:04 The emery iPafrthas slain the Ch,108000
30.06 Winnersu i5 Real (Rell) signalb to,108300
30:10 Winnersu is Real (Rell} is on the,108600
30:18 xeonerr (Viego) is on the way,108900
30:29 xeonerr (Viego) is on the way,109500
30:30 xeonerr (Viego) is asking for assi,109800
30.54 fang (Sylas) is on tlle way,111000
killl,111300
31:04 Ally team has Scored an acel,111600
31:07 Po Gap (Akali) is on killing spree,111900
31.24 fanq has disconnected,112800
