text,first_frame
Digite Ilcl para vera lita decomandos,300
00ub MIREU BURDOL FAN (Aatrox}: |palee - Vivola),300
OO7 MIREU BURDOL FAN (Aatrox}: Fxldalee - Vivola),300
O007 MIREU BURDOL FAN (Aatrox}: |dalee - Vivola),300
0007 MIREU BURDOL FAN (Aatrox}: /Jzhke - Vivola),300
0J07 MIREU BURDOL FAN (Aatrox}: | idalee - Vivola),300
007 MIREU BURDOL FAN (Aatrox): Rdalee - Vivola),300
00OB MIREU BURDOL FAN (Aatrox}: |ipale- Vivola),300
SUBIU DE NiVEL! +1,300
53 27 55 30 60 100,300
J 21 0 30,300
crw9) FLRY 7 0.73 X0 2[ 2[[] 2[[[ 2[[,300
745/745,300
Co o Haenn,300
0007 MIREU BURDOL FAN (Aatrox}: Nidalee - Vivola),600
0007 MIREU BURDOL FAN (Aatrox): Nidalee - Vivola),600
0007 MIREU BURDOL FAN (Aatrox}: [idalee - Vivola),600
000B MIREU BURDOL FAN (Aatrox}: Nidalee - Vivola),600
02.[0 [Equipe] Krastymel (Kai Sa} deixar mid pra alguem pior que tu,600
00.I [ [Equipe] Krastymel (KaiSa} PAP,600
00.I J [Equipe] Krastymel (KaiSa} que azar,600
53 27 55 30 60 100 0.5 0.5,600
0 21 0 30,600
cies) Kalunga 7 0.73 Xo 2[ 2[[] 2[[ 2[[,600
Co o Caaenn n,600
02 01 04,900
73,900
Grevthar,900
0007 MIREU BURDOL FAN (Aatrox} /phlea - -Viol?),900
Ou7 MIREU BURDOL FAN (Aatrox) / idklee - Vivola),900
0n07 MIREU BURDOL FAN (Aatrox}: /idalea - Vivola),900
0007 MIREU BURDOL FAM  (Aatrox}: / Ihlee - Vivola),900
0n07 MIREU BURDOL FAN (Aatrox}: /idhlea - Vivola),900
QLB MIREL BURDOL FANAatroxk Viola),900
TVTU[E TqqunranJ detar Mdpra alzuem pior que tu,900
WH| [Eqpipej # TastyngehKanjaj PAP,900
00 |J [Equpe] Krastyrel (Karja} queazar,900
9 21 0 30,900
Kalunga 7 0.73 Xo 2[ 2[[ 0 0 0,900
Cor Eo Hennann,900
00O7 MIREU BURDOL FAN (Aatrox}: Nidalee - Vivola),1200
0n07 MIREU BURDOL FAN (Aatrox}: |NidaEe - Vivola),1200
OOB MIREU BURDOL FAN (Aatrox}: |Nidalee - Vivola),1200
O L [Equipe] Krastymel (Kai Sa} derxar mid pra alzuem pior que tu,1200
0D [ [ [Equipe] Krastymel (KaiSa} PAP,1200
00 [ 3 [Equipe] Krastyme] (KaiSa} que azar,1200
0022 [Equipe] Grevthar (Atri}: euj? joguei,1200
00.23 [Equipe] Grevthar (Afri} contra Teu tinen,1200
 21 0 30,1200
logitech 7 0.73 X0 2[[ 2[] 2[a,1200
Co on Caennn nn,1200
0007 MIREU BURDOL FAN (Aatrox}: |xidalee - Vivola),1500
00O7 MIREU BURDOL FAN (Aatrox}: |xidalee - Vivola),1500
OJOB MIREU BURDOL FAN (Aatrox}: |NidalEe - Vivola),1500
iiL [Equipe] Krastymel (KaiSa} deixar midpra akzuem pior que tu,1500
O E [Equipe] Krastymel (KaiSa} PAP,1500
0D [ } [Equipe] Krastyme] (KaiSa} que azar,1500
0022 [Equipe] Grevthar (atn} Eua poguei,1500
002} [Equipe] Grevthar (Atri} contra tEu time n,1500
00.29 [Equipe] Krastymel (KaiSa} fodase,1500
logitech 0 7 0.73 X0 2[d 2[[ 2[[,1500
Co Ten Hanan,1500
0008 MIREU BURDOL FAN (Aatrox}: Nidalee - Vivola),1800
00.[0 [Equipe] Krastymel (KaiSa} deixar mid pra alguem pior que,1800
00 I [ [Equipe] Krastymel (KaiSa} PAP,1800
00 I } [Equipe] Krastymel (KaiSa} que azar,1800
00 22 [Equipe] Grevthar (Ahri} euja joguei,1800
00.23 [Equipe] Grevthar (Alri} contra TEITnE n?,1800
0029 [Equipe] Krastymel (KaiSa} fodase,1800
00 J} [Equipe] Grevthar (Atri}: pior qnem lembro,1800
[Equipe] de tao ir],1800
4ne0s) kaspersky 7 0.73 X0 2]] 2[]] 2[[,1800
Co Ten Caennn en,1800
00 | | [Equipe] Krastymel (KaiSa} PAP,2100
00 | } [Equipe] Krastymel (KaiSa} que azar,2100
00.22 [Equipe] Grevthar (Akri}: €uja joguei,2100
00.2} [Equipe] Grevthar (Atri} cortra tEu time n?,2100
00J} [Equipe] Grevthar (Ahri}: pior qnem lembro,2100
00.35 [Equipe] Grevthar (Atri}: - Nciteenane,2100
00.J5 [Equipe] Krastyme] (KaiSa} na Rokqn Ji0,2100
00 J8 [Equipe] Grevthar (Alri}: mas devo ter amassado Pguei,2100
53 27 55 30 60 IU,2100
cies) kaspersky 7 0.73 X0 2[] 2[ 2[[,2100
Co Ten Caenn a,2100
00.22 [Equipe] Grevthar (Atri} euja joguei,2400
002} [Equipe] Grevthar (Alri} contra ETME n,2400
00 J} [Equipe] GGrerttan (Atri}: pior qnem lembro,2400
00J5 [Equipe] Grevthar (Atri} de tao irrelevante,2400
00.J5 [Equipe] Krastymel (KaiSa} na sobqta J,2400
00 J8 [Equipe] Grevthar (Atri} mas devo ter amasado joguei,2400
0042 02 0l 04 (Zed) sinaliza qu m inimigos desaparecidos,2400
[Equipe] |igitar para equipe - [Tab] para trocar,2400
noping 7 0.73 X0 2]] 2[] 2[[,2400
Co Ten Caenn enn,2400
00.22 [Equipe] Grevthar (Ahri) €uja joguei,2700
00 2} [Equipe] Grevthar (Ahri} contra teu time n?,2700
00 J} [Equipe] Grevthar (Ahri} pior qnem lembro,2700
00.35 [Equipe] GGrexttan atcldetacimele ane,2700
00 J5 [Equipe] Krastymel (KaiSa} na sobqta J0,2700
00.J8 [Equipe] Grevthar (Atri} mas devo ET amassado pzuei,2700
0042 02 01 04 (Zed) sinaliza que ha inimigos desaparecidos,2700
0044 [Equipe] Krastymel (KaiSa} JO contra mel mid,2700
noping 7 0.73 X0 2[] 2[ 2[[,2700
Co Ten Caaenn lnnn,2700
0029 [Equipe] Krastyme] (Kai Sa} fodase,3000
00 J} [Equipe] Grevthar (Afri} pior 9 nEm lembro,3000
00 J5 [Equipe] Grevthar (Afri}: de tao irrelevante,3000
00.J5 [Equipe] Krastyme] (KaiSa} na sobq J0,3000
00.J8 [Equipe] Grevthar (Afri}: mas dEvo ter amasrado Pzuei,3000
0042 02 0l 04 (Zed) sialza que ha inimigos desaparecidos,3000
0044 [Equipe] Krastyue] (Kai Sa} J cortra Kelnid,3000
00.52 [Equipe] Grevthar (Afri} KDSAKDSKAFEQKOFKEQW,3000
0053 02 0l 04 (Zcd) sializa que ha inimigos desaparecidos,3000
crw9) FuRY 7 0.73 X0 2[] 2[]] 2[[,3000
Co Ien Caaennn n,3000
00 J8 [Equipe] Grevthar (Afri}: mas devo ter amarnado pguei,3300
0042 02 0l 04 (Zed) sinaliza que ha inimigos desaparecidos,3300
0044 [Equipe] Krastyme] (KaiSa} J0 contra ME mid,3300
00.52 [Equipe] Grevthar (Atri} KDSAKDSKAFEQKOFKEQW,3300
0053 02 0/ 04 (Zed) sinaliza que ha inimigos desaparecidos,3300
0056 02 04 (Zed) siraliza que innigo tem visao aqui,3300
00.59 02 01 04 (Zed} KhaZix Colheita Sombria,3300
00.59 02 01 04 (Zed} KhZi Colheita Sombria,3300
00.59 02 01 04 (Zed} Kha Zix Colheita Sombria,3300
SUBIU DE NiVEL] + ,3300
(29 FuRY 7 0.73 Xo 2[ 2[[ 2[[,3300
Co Ien Hneann,3300
00. J8 [Equipe] Grevthar (Atri}: mas devo Teramarnado poguei,3600
0042 02 0l 04 (Zed) sialia que ha Mn 305 desaparecidos,3600
00+4 [Equipe] Krastymel (Kai Sa} J cortra e mid,3600
0052 [Equipe] Grevthar (Atri} KDSAKDSKAFEQKOFKEQW,3600
0056 02 0l 04 (Zed) siralia que ringo tem visao aqui,3600
0059 02 0l 04 (Zed: Kia Zi Colheita Sombria,3600
0059 02 0l 04 (Zed}: KiaZi Colheita Sombria,3600
00.59 02 0l 04 (Zed: Kia Zi Colheita Sombria,3600
Kalunga 7 0.73 X0 2[ 2[[ 2[a,3600
Co Ten Caennn n,3600
021 0 30,3900
cies) Kalunga 7 0.73 Xo 2[] 2[l 2[[,3900
Co Ten Caennn nnn,3900
21 0 30,4200
logitech (7 7 0.73 X0 2] 2[] 2[[,4200
Co Ten Caannn n,4200
polo  capalot,4500
15,4500
66,4500
53 27 55 30 60 IU 211,4500
logitech ( 7 7 0.73 Xo 3]] 2[ 2[[ 2[[,4500
585/745,4500
o Ten Tenn e,4500
53 27 55 30 60 100 2.06,4800
kaspersky 7 0.73 X0 3] 2[[ 2[[,4800
549/745 +1.6,4800
Co Ten Co a,4800
53 27 55 30 60 100 2.01,5100
